cross_section,width_0,width_1,width_2,width_3,width_4,width_5,width_6,width_7,width_8,width_9
0,10.041031,9.989102,9.996047,9.995882,9.994053,9.994153,9.991604,9.995718,9.980969,10.032498
1,10.034600,9.994600,9.990000,9.990000,9.999770,10.000200,9.997486,9.990000,9.987400,10.027400
2,10.040800,9.980800,9.990000,10.000200,9.989200,9.988800,9.987200,10.000200,9.986800,10.046800
3,10.032200,9.992200,9.990000,9.998600,9.990000,9.999400,9.989600,9.990000,9.997000,10.037000
4,10.043027,9.983027,9.990000,9.999400,9.989600,9.999812,9.999800,9.989600,9.990000,10.050000
5,10.038200,9.998200,9.989200,9.989600,10.000200,9.988682,9.989600,10.000200,9.989600,10.049600
6,10.044800,9.984800,9.999800,9.989600,10.000200,9.990000,9.990000,9.990000,9.998600,10.038600
7,10.045200,9.985200,9.990000,9.999000,9.988400,9.998966,9.999800,9.990000,9.990000,10.050000
8,10.038200,9.998200,9.997000,9.988400,9.999800,9.989600,9.999400,9.990000,9.990000,10.050000
9,10.036200,9.996200,9.990000,9.989600,9.999000,9.989921,10.000195,9.990000,9.999979,10.039979
10,10.041600,9.981600,9.988800,9.999400,9.987200,9.999800,9.989200,9.990000,9.997000,10.037000
11,10.042000,9.982000,9.990000,9.981800,9.998970,9.999400,9.989200,9.999800,9.988000,10.048000
12,10.033000,9.993000,9.988400,10.000200,9.990000,9.990000,10.000200,9.989600,9.998200,10.038200
13,10.044474,9.984474,9.999400,9.987200,9.989600,9.999800,9.989600,9.990000,9.996200,10.036200
14,10.045600,9.985600,9.990000,9.999400,9.999507,9.999756,9.990000,10.000200,9.989200,10.049200
15,10.036600,9.996600,9.995800,9.989600,9.990000,9.989600,9.999800,9.989200,9.989600,10.049600
16,10.037400,9.997400,9.986800,9.986000,9.999629,9.990000,9.999263,9.990000,9.999000,10.039000
17,10.043200,9.983200,9.996000,9.983198,9.999800,9.989458,9.987448,10.000200,9.987200,10.047200
18,10.030252,9.990252,9.986800,9.999800,9.989864,10.000200,9.989600,9.990000,9.995400,10.035400
19,10.041528,9.981528,10.000200,9.985600,9.988514,9.999634,9.999047,9.990000,9.990000,10.050000
20,10.039200,9.979200,9.999000,9.987600,9.998600,9.988680,9.990000,9.999800,9.988400,10.048400
21,10.029000,9.989000,9.990000,9.997400,9.997800,9.990000,9.999112,9.989600,9.998600,10.038600
22,10.038721,9.978721,9.980200,9.998000,9.999800,9.999400,9.989600,9.990000,9.997400,10.037400
23,10.040693,9.980693,9.989600,9.996570,9.987200,9.995400,9.999800,9.989600,9.988800,10.048800
24,10.033627,9.993627,9.981600,9.998200,9.999000,9.990000,10.000117,9.990000,9.989200,10.049200
25,10.033497,9.993497,9.994400,9.987200,9.996200,9.989600,9.990000,9.990000,9.999800,10.039800
26,10.050000,9.990000,9.989200,9.999800,9.988000,9.999800,9.989200,9.990000,9.997000,10.037000
27,10.034200,9.994200,9.990000,9.999786,9.989600,9.999800,9.987600,9.999800,9.987600,10.047600
28,10.036479,9.996479,9.990000,9.990000,9.988000,9.989600,9.999778,9.990000,9.989200,10.049200
29,10.045600,9.985600,9.999800,9.987600,9.999800,9.990000,9.998314,9.990000,9.999000,10.039000
30,10.046000,9.986000,9.990000,10.000200,9.989600,9.999800,9.988800,10.000200,9.988400,10.048400
31,10.035662,9.995662,9.988800,10.000200,9.999800,9.989600,9.989600,9.990000,9.998200,10.038200
32,10.046000,9.986000,10.000200,9.989600,9.999800,9.989600,9.999800,9.990000,9.988400,10.048400
33,10.033000,9.993000,9.990000,9.988000,9.989600,9.999800,9.990000,9.990000,9.999400,10.039400
34,10.039600,9.979600,9.990000,9.997000,9.986645,9.990000,9.999395,9.990000,9.997400,10.037400
35,10.039200,9.979200,9.991600,9.994200,9.999400,9.990000,9.989600,10.000200,9.988800,10.048800
36,10.031330,9.991330,9.992400,9.988620,9.999800,9.999393,9.999244,9.989600,9.989200,10.049200
37,10.032200,9.992200,9.988400,9.997400,9.987600,9.999321,9.999490,9.990000,9.999400,10.039400
38,10.040000,9.980000,9.992800,9.997400,9.988585,9.989478,9.990000,9.989600,9.997000,10.037000
39,10.041600,9.981600,9.990000,9.996080,9.997800,9.990000,9.999800,9.989600,9.986000,10.046000
40,10.031171,9.991171,9.988400,9.983959,10.000200,9.999534,9.989600,9.990000,9.996200,10.036200
41,10.034713,9.994713,9.986400,9.987089,9.986473,9.999411,9.990000,9.999000,9.989200,10.049200
42,10.045600,9.985600,9.990000,9.998067,9.988107,9.990000,10.000200,9.989600,9.989600,10.049600
43,10.046892,9.986892,9.990000,9.997647,9.986880,9.990000,9.989600,9.989600,9.999400,10.039400
44,10.033529,9.993529,9.990000,9.988605,9.995451,9.999800,9.999400,9.990000,9.997000,10.037000
45,10.044383,9.984383,9.998200,9.987518,9.998154,9.999659,9.999492,9.988800,9.989200,10.049200
