,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1,1,0.1462582,0.4218844,0.1462582,0.4218844,-0.07197192,0.3714231,0.3644883,0.4723457,0.4479764,0
1,2,1,0.1462359,0.4221672,0.1462359,0.4221672,-0.07221253,0.3717016,0.3646843,0.4726327,0.4484037,0
2,3,1,0.1461973,0.4226568,0.1461973,0.4226568,-0.07256532,0.3721986,0.3649599,0.4731149,0.4490127,0
3,4,1,0.1461409,0.4233733,0.1461409,0.4233733,-0.07299516,0.3729459,0.365277,0.4738007,0.4497268,0
4,5,1,0.1460675,0.4243109,0.1460675,0.4243109,-0.07346107,0.3739461,0.365596,0.4746757,0.4504638,0
5,6,1,0.1459771,0.4254704,0.1459771,0.4254704,-0.07395092,0.375203,0.365905,0.4757378,0.451199,0
6,7,1,0.14587,0.426851,0.14587,0.426851,-0.07446123,0.3767165,0.3662013,0.4769856,0.4519263,0
7,8,1,0.1457467,0.4284521,0.1457467,0.4284521,-0.0749913,0.3784856,0.3664846,0.4784185,0.4526451,0
8,9,1,0.1456075,0.4302727,0.1456075,0.4302727,-0.07554066,0.3805096,0.3667556,0.4800357,0.4533558,0
9,10,1,0.1454529,0.4323118,0.1454529,0.4323118,-0.07610872,0.3827872,0.3670145,0.4818364,0.4540583,0
10,11,1,0.1452836,0.4345685,0.1452836,0.4345685,-0.07669483,0.3853173,0.3672619,0.4838197,0.454753,0
11,12,1,0.1450999,0.4370415,0.1450999,0.4370415,-0.07729824,0.3880986,0.3674981,0.4859844,0.4554398,0
12,13,1,0.1449027,0.4397296,0.1449027,0.4397296,-0.07791816,0.3911295,0.3677236,0.4883297,0.456119,0
13,14,1,0.1446927,0.4426313,0.1446927,0.4426313,-0.07855372,0.3944084,0.3679391,0.4908542,0.4567906,0
14,15,1,0.1444705,0.4457452,0.1444705,0.4457452,-0.07920402,0.3979336,0.368145,0.4935568,0.4574549,0
