,order,group,centerline_x,centerline_y,centerline_x_corrected,centerline_y_corrected,right_bank_x,right_bank_y,left_bank_x,left_bank_y,width (m),curvature
0,1,1,0.0001606159,5.222402E-05,0.0001606159,5.222402E-05,9.113262E-05,1.716772E-05,0.0002300993,8.728031E-05,0.0001556519,0
1,2,1,0.0001601114,5.331694E-05,0.0001601114,5.331694E-05,9.044771E-05,1.824928E-05,0.000229775,8.838459E-05,0.0001559842,0
2,3,1,0.0001592503,5.518681E-05,0.0001592503,5.518681E-05,8.927628E-05,2.009937E-05,0.0002292244,9.027426E-05,0.0001565566,0
3,4,1,0.0001580161,5.78773E-05,0.0001580161,5.78773E-05,8.760348E-05,2.276665E-05,0.0002284286,9.298795E-05,0.0001573619,0
4,5,1,0.000156446,6.131742E-05,0.000156446,6.131742E-05,8.547319E-05,2.617952E-05,0.0002274187,9.645533E-05,0.0001583895,0
5,6,1,0.0001545705,6.545278E-05,0.0001545705,6.545278E-05,8.292958E-05,3.028802E-05,0.0002262114,0.0001006175,0.0001596118,0
6,7,1,0.0001524273,7.021405E-05,0.0001524273,7.021405E-05,8.003204E-05,3.50303E-05,0.0002248225,0.0001053978,0.0001609841,0
7,8,1,0.0001500548,7.552969E-05,0.0001500548,7.552969E-05,7.682671E-05,4.033524E-05,0.0002232828,0.0001107241,0.000162493,0
8,9,1,0.0001474915,8.132654E-05,0.0001474915,8.132654E-05,7.337109E-05,4.613551E-05,0.000221612,0.0001165176,0.0001641006,0
9,10,1,0.0001447745,8.753345E-05,0.0001447745,8.753345E-05,6.971833E-05,5.236441E-05,0.0002198306,0.0001227025,0.0001657743,0
10,11,1,0.0001419373,9.408328E-05,0.0001419373,9.408328E-05,6.591888E-05,5.895957E-05,0.0002179558,0.000129207,0.0001674811,0
11,12,1,0.0001390101,0.0001009148,0.0001390101,0.0001009148,6.20153E-05,6.586274E-05,0.000216005,0.0001359669,0.0001691964,0
12,13,1,0.0001360185,0.0001079737,0.0001360185,0.0001079737,5.805352E-05,7.302628E-05,0.0002139835,0.000142921,0.0001708784,0
13,14,1,0.0001329836,0.000115213,0.0001329836,0.000115213,5.405814E-05,8.04025E-05,0.0002119091,0.0001500235,0.0001725225,0
14,15,1,0.0001299225,0.0001225934,0.0001299225,0.0001225934,5.006562E-05,8.795864E-05,0.0002097794,0.0001572282,0.0001740884,0
15,16,1,0.0001268483,0.0001300826,0.0001268483,0.0001300826,4.609817E-05,9.56645E-05,0.0002075984,0.0001645008,0.0001755584,0
16,17,1,0.000123771,0.0001376548,0.000123771,0.0001376548,4.216643E-05,0.000103493,0.0002053756,0.0001718167,0.0001769332,0
17,18,1,0.0001206981,0.0001452899,0.0001206981,0.0001452899,3.829154E-05,0.0001114283,0.0002031046,0.0001791515,0.0001781847,0
18,19,1,0.000117635,0.0001529724,0.000117635,0.0001529724,3.448273E-05,0.0001194552,0.0002007873,0.0001864896,0.0001793065,0
19,20,1,0.0001145862,0.0001606911,0.0001145862,0.0001606911,3.074939E-05,0.0001275635,0.0001984229,0.0001938186,0.0001802891,0
20,21,1,0.000111555,0.0001684377,0.000111555,0.0001684377,2.709188E-05,0.0001357426,0.0001960181,0.0002011329,0.0001811408,0
21,22,1,0.0001085448,0.0001762068,0.0001085448,0.0001762068,2.351461E-05,0.0001439863,0.0001935749,0.0002084274,0.0001818603,0
22,23,1,0.0001055587,0.0001839946,0.0001055587,0.0001839946,2.002517E-05,0.0001522917,0.0001910922,0.0002156976,0.0001824396,0
23,24,1,0.0001026002,0.0001917989,0.0001026002,0.0001917989,1.662222E-05,0.0001606538,0.0001885782,0.0002229441,0.0001828905,0
24,25,1,9.967327E-05,0.0001996186,9.967327E-05,0.0001996186,1.330823E-05,0.0001690701,0.0001860383,0.0002301671,0.0001832172,0
25,26,1,9.67822E-05,0.0002074533,9.67822E-05,0.0002074533,1.008246E-05,0.0001775376,0.0001834819,0.000237369,0.0001834316,0
26,27,1,9.393177E-05,0.0002153032,9.393177E-05,0.0002153032,6.942046E-06,0.000186053,0.0001809215,0.0002445534,0.0001835515,0
27,28,1,9.11272E-05,0.0002231689,9.11272E-05,0.0002231689,3.886282E-06,0.0001946142,0.0001783681,0.0002517236,0.0001835903,0
28,29,1,8.837401E-05,0.0002310512,8.837401E-05,0.0002310512,9.19691E-07,0.000203221,0.0001758283,0.0002588814,0.0001835514,0
29,30,1,8.567793E-05,0.0002389508,8.567793E-05,0.0002389508,-1.958382E-06,0.0002118714,0.0001733142,0.0002660303,0.0001834494,0
30,31,1,8.304481E-05,0.0002468688,8.304481E-05,0.0002468688,-4.754188E-06,0.000220562,0.0001708438,0.0002731755,0.0001833107,0
31,32,1,8.048044E-05,0.0002548057,8.048044E-05,0.0002548057,-7.463967E-06,0.0002292926,0.0001684249,0.0002803187,0.0001831408,0
32,33,1,7.799051E-05,0.0002627622,7.799051E-05,0.0002627622,-1.008623E-05,0.0002380621,0.0001660672,0.0002874624,0.0001829493,0
33,34,1,7.558038E-05,0.000270739,7.558038E-05,0.000270739,-1.262797E-05,0.0002468672,0.0001637887,0.0002946108,0.000182763,0
