stage,transport_coefficient_K,perlin_seed,mean_bed_elevation,std_bed_elevation,min_bed_elevation,max_bed_elevation,mean_velocity,max_erosion_rate,mean_water_depth,max_velocity
1,0.125838,2144668060,9.992946,0.005401,9.966272,10.009400,13.120050,2926082.874771,0.500000,14.142136
2,0.068024,1023580719,9.992804,0.005261,9.965878,10.008200,13.325431,1311338.852165,0.500000,14.142136
3,0.087668,640046344,9.992888,0.005282,9.964713,10.004800,13.384223,1869720.540112,0.500000,14.142136
4,0.089246,2118638907,9.992903,0.005302,9.967000,10.004000,13.396302,1838487.946205,0.500000,14.142136
5,0.086100,1659836508,9.992919,0.005300,9.966600,10.000200,13.405927,1622355.614024,0.500000,14.142136
6,0.102080,1382802698,9.992914,0.005301,9.965800,10.000200,13.409383,1903019.077635,0.500000,14.142136
7,0.121140,1462774449,9.992919,0.005315,9.966507,10.003200,13.428310,2386115.182561,0.500000,14.142136
8,0.103509,265917465,9.992911,0.005311,9.967200,10.003600,13.417263,1954969.200945,0.500000,14.142136
9,0.165836,756097002,9.992909,0.005320,9.970000,10.000200,13.425536,3580726.393620,0.500000,14.142136
10,0.100168,1909536705,9.992906,0.005322,9.968920,10.006948,13.429098,2159866.536977,0.500000,14.142136
11,0.099511,1742360542,9.992900,0.005327,9.960580,10.000200,13.434387,2058640.975144,0.500000,14.142136
12,0.073453,497314327,9.992891,0.005327,9.968667,10.000200,13.428993,1335504.113927,0.500000,14.142136
13,0.089706,1655524504,9.992904,0.005330,9.968000,10.004400,13.415012,1620790.334986,0.500000,14.142136
14,0.082644,110193646,9.992892,0.005325,9.968800,10.000200,13.432223,1710339.117907,0.500000,14.142136
15,0.089009,338580818,9.992906,0.005329,9.967708,10.008200,13.428052,1536418.648079,0.500000,14.142136
16,0.086098,97004069,9.992874,0.005326,9.967600,10.004812,13.430634,1687773.127740,0.500000,14.142136
17,0.124124,350997035,9.992888,0.005325,9.969200,10.003485,13.447711,2268719.184454,0.500000,14.142136
18,0.092205,1923694358,9.992890,0.005315,9.968400,10.000200,13.432382,1986876.324692,0.500000,14.142136
19,0.075610,2012972541,9.992892,0.005322,9.967800,10.000200,13.437374,1352277.457611,0.500000,14.142136
20,0.093415,926651854,9.992864,0.005331,9.967245,10.009400,13.441855,1971041.997989,0.500000,14.142136
